,弹幕,类别
175,你好爱他,高兴
176,All hail lelouch ,高兴
177,你好爱他,高兴
178,鲁鲁修！！！,高兴
179,你还是爱他,愤怒
180,你好爱他,高兴
181,啊 是我,惊讶
182,你好爱他,高兴
183,你好爱他,高兴
184,你好爱他,高兴
185,son son,惊讶
186,你好爱他,高兴
187,鲁鲁修！！！！,高兴
188,你真的好爱他,高兴
189,你好爱他,高兴
190,你好爱他,高兴
191,又现周深！！！！！！！,惊讶
192,你好爱他,高兴
193,一听就知道是周深唱的那版哈哈哈,高兴
194,哈哈哈哈哈哈哈哈哈,高兴
195,你好爱他,高兴
196,你好爱他,高兴
197,哈哈哈哈哈哈哈哈哈哈哈,高兴
198,深深！,高兴
199,你好爱他,高兴
200,三连了,高兴
201,笑死了,高兴
202,你好爱他,高兴
203,你好爱他,高兴
204,哈哈哈哈哈哈哈哈哈,高兴
205,你好爱他,高兴
206,你好爱他,高兴
207,你好爱他,高兴
208,你好爱他,高兴
209,德呢,愤怒
210,你好爱他！,高兴
211,谢谢夸奖,高兴
212,啊啊啊啊啊鲁鲁修的音乐哈哈哈哈哈哈哈哈哈哈,高兴
213,周深排面,高兴
214,鲁路修,难过
215,你好爱他,高兴
216,你好爱他,高兴
217,恶熏熏,难过
218,我真什么都不会 也不想学 所以啥都没发哈哈哈哈哈,高兴
219,哈哈哈哈哈哈哈哈，笑死我了,高兴
220,你好爱他,高兴
221,哈哈哈哈哈哈哈哈哈,高兴
222,kdl,高兴
223,你好爱他,高兴
224,哇喻言！,惊讶
225,你好爱他,高兴
226,你好爱他,高兴
227,哈哈哈哈哈哈哈哈哈哈哈,高兴
228,山人不愿再动了,难过
229,哈哈哈哈哈哥哥好菜,高兴
230,哈哈哈哈哈哈哈哈哈,高兴
231,你好爱他,高兴
232,你好爱他,高兴
233,你好爱他,高兴
234,你好爱他,高兴
235,恶心心,难过
236,老公好！！！,高兴
237,二号机老公好！,高兴
238,你好爱他你好爱他你好爱他,高兴
239,你好爱他,高兴
240,哈哈哈哈哈哈哈哈哈哈哈哈哈,高兴
241,你好爱他,高兴
242,草哈哈哈哈哈,高兴
243,你好爱他,高兴
244,德智体美劳，我从来都不会欠费～,高兴
245,你好爱他,高兴
246,你好爱他,高兴
247,你好爱他,高兴
248,你好爱他,高兴
249,你好爱他,高兴
250,你好爱他,高兴
251,你好爱他,高兴
252,你好爱他,高兴
253,你好爱他,高兴
254,哈哈哈哈哈哈哈哈哈哈,高兴
255,你还爱他,愤怒
256,小雨哥哥坚强,高兴
257,你好爱他,高兴
258,你好爱他,高兴
259,你好爱他,高兴
260,你好爱他,高兴
261,你好爱他,高兴
262,突然想到山人给俊子那条评论盖的12万楼中楼,高兴
263,你好爱他,高兴
264,你真的好爱他,高兴
265,你超踏马爱他,高兴
266,泪目,难过
267,你好爱他,高兴
268,你好爱他,高兴
269,你真的好爱他,高兴
270,你好爱他,高兴
271,惊现周深,惊讶
272,你好爱他,高兴
273,哈哈哈哈哈,高兴
274,你好爱他,高兴
275,干嘛放我们黑历史！,愤怒
276,你好爱他,高兴
277,老树蹦迪,高兴
278,你好爱他,高兴
279,哈哈哈哈哈,高兴
280,拿这钱喝杯瑞幸，就很香,高兴
281,你好爱他,高兴
282,你好爱他,高兴
283,你好爱他,高兴
284,你好爱他,高兴
285,你好爱他,高兴
286,你刚刚怎么读秒！,愤怒
287,你好爱他,高兴
288,呜呜呜呜绝美爱情，你好爱他,难过
289,你好爱他,高兴
290,深深又来了,高兴
291,深深,难过
292,你好爱他！！！！,高兴
293,牛不喝水强摁头可还行,愤怒
294,你好爱他,高兴
295,你好爱他,高兴
296,你好爱他,高兴
297,我 中 奖 了,高兴
298,你好爱他,高兴
299,你好爱他,高兴
300,已经点了再点一下会怎样,愤怒
301,缺德,愤怒
302,你好爱他,高兴
303,你好爱他,高兴
304,你好爱他,高兴
305,你好爱他你好爱他你好爱他你好爱他,高兴
306,哎呀，你这样人家会不好意思的啦咯咯咯,愤怒
307,笋出奇迹哈哈哈哈,高兴
308,得奖了得奖了呜呜呜不忘初心方得始终,高兴
309,你再说笨蛋，笋笋们要去暗杀你,愤怒
310,你好爱他，我也,高兴
311,我当时笑rue了,高兴
312,你好爱他,高兴
313,你好爱他,高兴
314,你好爱他,高兴
315,你好爱他,高兴
316,你好爱他,高兴
317,你好爱他哈哈哈哈哈,高兴
318,你好爱他,高兴
319,我爱2号机,高兴
320,KDLKDL,高兴
321,呜呜呜你好爱他,高兴
322,哈哈哈哈哈哈哈哈哈,高兴
323,你好爱他,高兴
324,你好爱他,高兴
325,你好爱他,高兴
326,荣耀尽归鲁鲁修！,高兴
327,你好爱他,高兴
328,你好爱他,高兴
329,你好爱他,高兴
330,你好爱他,高兴
331,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈嗝,高兴
332,你好爱他啊,高兴
333,xxxx,高兴
334,你好爱他,高兴
335,就是缺德哈哈哈哈哈,高兴
336,损人利己（各位，还记得怎么写吗）,愤怒
337,山人DNA动了,高兴
338,你好爱他,高兴
339,来了,高兴
340,你好爱他,高兴
341,你好爱他,高兴
342,你好爱他,高兴
343,你好爱他,高兴
344,你才笨,愤怒
345,RNA动了,高兴
346,！！！！嵩嵩,高兴
347,我的天天呐,难过
348,恶心心,难过
349,哈哈哈哈哈哈哈哈哈哈,高兴
350,叠词词，恶心心,难过
351,你好爱他,高兴
352,你好爱他,高兴
353,深深梅开二度,高兴
354,惊现我深深,惊讶
355,深深！！！！！！,高兴
356,？？？深深二杀,愤怒
357,因为楼中楼被笑过,高兴
358,？？？惊现深深,惊讶
359,哈哈哈笨蛋笋丝,高兴
360,深崽你咋在这里,愤怒
361,周深？？；,惊讶
362,你好爱他！,高兴
363,深深你怎么在这里,高兴
364,妈妈！我得奖啦！,高兴
365,你好爱他,高兴
366,你好爱他,高兴
367,你好爱他,高兴
368,别骂了别骂了,愤怒
369,你好爱他,高兴
370,百年好合,高兴
371,百年好合,高兴
372,你好爱他,高兴
373,你好爱他,高兴
374,你好爱他,高兴
375,恶心心，感动动，你好爱他,高兴
376,大家快磕阿好甜～,高兴
377,你好爱他,高兴
378,你好爱他,高兴
379,你好爱他,高兴
380,你好爱他,高兴
381,升华,高兴
382,哈哈哈哈哈哈哈哈哈,高兴
383,谢谢谢谢,高兴
384,你好爱他,高兴
385,你还爱他,愤怒
386,缺的德,愤怒
387,DNA又动了,高兴
388,山人狂喜,高兴
389,靠人头硬舞哈哈哈,高兴
390,笑死我了救命,高兴
391,你好爱他,高兴
392,你好爱他,高兴
393,你好爱他,高兴
394,你好爱他,高兴
395,你好爱他,高兴
396,你的文字还爱他,高兴
397,你好爱他,高兴
398,你好爱他,高兴
399,你好爱他,高兴
400,你好爱他！,高兴
401,恶心心,难过
402,你好爱他,高兴
403,恶心心,难过
404,前面佳哥的是姐妹啊哈哈哈,高兴
405,你好爱他哈哈哈呵呵呵,高兴
406,你好爱他,高兴
407,你好爱他,高兴
408,这次我居然猜对了！,惊讶
409,你好爱他,高兴
410,前面说伯贤和爱丽的笑死我我刚想说,高兴
411,你好爱他,高兴
412,这个界面像剑与远征啊,高兴
413,这个男人终于对他的粉丝下手了,高兴
414,你好爱他,高兴
415,你好爱他,高兴
416,你还爱他啊（bushi）,高兴
417,你真爱他,高兴
418,没有打码，差评,愤怒
419,磕到了磕到了！,难过
420,你好爱他,高兴
421,你好爱他,高兴
422,你真的好爱她,高兴
423,你真的好爱他,高兴
424,你好爱他,高兴
425,你就这么爱他吗,愤怒
426,你好爱他,高兴
427,你还爱他,愤怒
428,草，真实，我还要问我姐妹,惊讶
429,深深!深深!深深!,高兴
430,你好爱他,高兴
431,你好爱他,高兴
432,你搁这打排球？？？,愤怒
433, 你好爱他,高兴
434,哈哈哈哈哈哈哈哈哈哈哈,高兴
435,你好爱他,高兴
436,你太爱他了,高兴
437,你好爱他,高兴
438,你好爱他,高兴
439,?,惊讶
440,你好爱他,高兴
441,你好爱他,高兴
442,你好爱他,高兴
443,你好爱他,高兴
444,你好爱他,高兴
445,你好爱他,高兴
446,你好爱他,高兴
447,放飞自我,高兴
448,哈哈哈哈哈哈,高兴
449,这一句啥都不会我好喜欢,高兴
450,哈哈,高兴
451,你好爱他,高兴
452,你好爱他,高兴
453,你好爱他,高兴
454,我居然得奖了,高兴
455,你好爱他,高兴
456,？？？不对劲，不对劲，快跑,难过
457,你好爱他,高兴
458,笑死我也有这个,高兴
459,你好爱他,高兴
460,第一次听到他说话那么大声,惊讶
461,红buff！！！yyds,高兴
462,绝了我还三连这几个视频了,高兴
463,哈哈哈哈哈哈深深你怎么又来了,高兴
464,你怎么读秒的，我真的生气了,愤怒
465,排球人，DNA动了,高兴
466,你好爱他,高兴
467,你好矮,愤怒
468,你好爱他,高兴
469,哈哈哈哈哈哈,高兴
470,你好爱他,高兴
471,你好爱他,高兴
472,哈哈哈哈哈哈哈哈哈哈哈哈,高兴
473,hhhhhh,高兴
474,生米被cue，瞳孔地震,惊讶
475,你好爱他,高兴
476,我自己给自己颁奖，狗头保命,高兴
477,你好爱他,高兴
478,？？这和山人有什么关系,愤怒
479,你好爱他,高兴
480,你好爱他,高兴
481,你好爱他,高兴
482,泪目,难过
483,我都没揍到（委屈）,难过
484,哈哈哈哈哈,高兴
485,捂脸,惊讶
486,捂脸,惊讶
487,你好爱他,高兴
488,你好爱他！,高兴
489,公开处刑,愤怒
490,缺德？,愤怒
491,？！,惊讶
492,你好爱他,高兴
493,你好爱他,高兴
494,你好爱她,高兴
495,恶心心,难过
496,你好爱他,高兴
497,不对劲,惊讶
498,你好爱他,高兴
499,你好爱他,高兴
500,DNA,高兴
501,山人懵逼,难过
502,你 好 爱 他,高兴
503,shun,高兴
504,你好爱他！！！！！,高兴
505,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,高兴
506,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,高兴
507,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,高兴
508,青春油你,高兴
509,恶心心,难过
510,你好爱他,高兴
511,你好爱他,高兴
512,我得奖了！！！,高兴
513,你好爱他,高兴
514,你好爱他,高兴
515,e xin xin,高兴
516,深深唱的版本,高兴
517,你好爱他,高兴
518,恶心心,难过
519,完蛋玩意怎么炸出这么多山人,愤怒
520,你好爱他,高兴
521,你好爱他,高兴
522,你好爱他,高兴
523,你好爱他,高兴
524,惊现我深,惊讶
525,你好爱他,高兴
526,你好爱他,高兴
527,原来你还爱着他,高兴
528,绝了,高兴
529,绝了,高兴
530,最近已经打不过了,难过
531,泪目,难过
532,你好爱他,高兴
533,你好爱他,高兴
534,你好爱他,高兴
535,获奖的竟是我自己,高兴
536,你好爱他,高兴
537,爱她，你,高兴
538,你好爱他,高兴
539,你好爱他,高兴
540,惊现深深,惊讶
541,哈哈哈哈哈哈哈哈哈,高兴
542,哈哈哈哈哈哈哈哈哈,高兴
543,你好爱他,高兴
544,哈哈哈哈哈哈哈哈,高兴
545,你好爱他,高兴
546,排面,高兴
547,你好爱他,高兴
548,你好爱他,高兴
549,叠词词，恶心心,难过
550,哈哈哈哈哈哈哈哈哈笑死我吧！！,高兴
551,你好爱他,高兴
552,我笑得不能活,高兴
553,你好爱他,高兴
554,你好爱他,高兴
555,哈哈哈哈哈突然出现周深对不起哈哈哈,高兴
556,你好爱他,高兴
557,你真的好爱他,高兴
558,鬼见条,惊讶
559,哈哈哈哈哈哈,高兴
560,谢谢，我得奖了,高兴
561,哈哈哈,高兴
562,你好爱他,高兴
563,你好爱他,高兴
564,你好爱他,高兴
565,你好爱他,高兴
566,哈哈哈哈哈哈哈哈哈,高兴
567,恶熏熏,难过
568,你好爱他,高兴
569,你好爱他,高兴
570,你好爱他,高兴
571,你好爱他,高兴
572,恶心心,难过
573,你好爱他,高兴
574,好家伙，我直呼好家伙,高兴
575,笑死，你好爱他,高兴
576,你好爱他,高兴
577,恶心心,难过
578,你好爱他,高兴
579,你好爱他,高兴
580,你好爱他,高兴
581,你好爱他,高兴
582,人人都有一个排球梦吗？,愤怒
583,啊我洛基！,惊讶
584,你好爱他,高兴
585,深深！,高兴
586,你好爱他！,高兴
587,你好爱他,高兴
588,你好爱他,高兴
589,你好爱他,高兴
590,你好爱他,高兴
591,你好爱他,高兴
592,哈哈哈哈哈,高兴
593,大家少点ky啊，路人不太喜欢。,愤怒
594,鲁鲁修啊啊啊啊啊,高兴
595,周深！！,高兴
596,雀实,高兴
597,哈哈哈哈哈哈哈哈哈哈,高兴
598,谢谢谢谢家人们,高兴
599,你好爱他,高兴
600,你好爱他,高兴
601,你好爱他,高兴
602,哈哈哈哈哈哈哈哈哈,高兴
603,你好爱他,高兴
604,惊现周深!,惊讶
605,哈哈哈哈哈,高兴
606,夸得我不好意思了都,高兴
607,你好爱他,高兴
608,黄出了圈哈哈哈哈哈,高兴
609,就这么爱吗,愤怒
610,下次丕定,高兴
611,？？？你骂谁？,愤怒
612,你好爱他,高兴
613,耶斯莫拉,高兴
614,谢谢，这是我应得的,高兴
615,啊！你好爱他！,高兴
616,你好爱他啊,高兴
617,你真的好爱他,高兴
618,你好爱他,高兴
619,你好爱他,高兴
620,ふわふわ,难过
621,你好爱他,高兴
622,你好爱他,高兴
623,谢谢大家,高兴
624,哈哈哈哈哈哈哈害修,高兴
625,0,愤怒
626,你好爱他,高兴
627,你好爱他,高兴
628,你好爱他、,高兴
629,能不能把你的片头换掉。真的很夸张,愤怒
630,中年笋丝 老板：你礼貌吗,高兴
631,你好爱他,高兴
632,恶心心,难过
633,你好爱他你好爱他,高兴
634,你好爱他,高兴
635,你好爱他,高兴
636,哈哈哈,高兴
637,救命，我以为利路修在抠脚。我去,难过
638,你好爱他,高兴
639,《春笋》,高兴
640,他也爱你,高兴
641,你好爱他,高兴
642,你好爱他,高兴
643,你好爱他,高兴
644,小雨哥哥哈哈哈哈哈哈哈哈,高兴
645,瑞幸？,惊讶
646,xswl你好爱他,高兴
647,叠词词恶心心,难过
648,你好爱他,高兴
649,你好爱他,高兴
650,你好爱他,高兴
651,妈妈我得奖了,高兴
652,你好爱他,高兴
653,哈哈哈,高兴
654,你好爱他,高兴
655,你好爱他,高兴
656,哈哈哈哈哈哈,高兴
657,all hail lelouch！,高兴
658,莲粉突然吃到自己家……,高兴
659,谢谢谢谢,高兴
660,你好爱他我也爱他,高兴
661,有被内涵到,愤怒
662,山人DNA动了,高兴
663,你好爱他,高兴
664,缺了大德了,愤怒
665,哈哈哈哈哈哈哈哈,高兴
666,你好爱他   你好爱他,高兴
667,你们的爱情，已经被甲方捕获,愤怒
668,这样真的很容易被资本利用,愤怒
669,缺德hhh,高兴
670,山人DNA又又又动了!,高兴
671,山人DNA动了!,高兴
672,你好爱他,高兴
673,你好爱他,高兴
674,你好爱他,高兴
675,你好爱他,高兴
676,你好爱他,高兴
677,你好爱他,高兴
678,你好爱他,高兴
679,山人ky能力第一名，不知道还以为山河令是利路修演的,高兴
680,你好爱他,高兴
681,请收下我的膝盖,高兴
682,你好爱他,高兴
683,你好爱他,高兴
684,你好爱他,高兴
685,你好爱他,高兴
686,Color！！！,高兴
687,你还爱他,愤怒
688,你好爱他,高兴
689,真爱无疑,高兴
690,哈哈哈哈哈哈哈哈好开心,高兴
691,双向背赴,愤怒
692,哈哈哈哈哈哈哈哈,高兴
693,哈哈哈哈哈哈哈哈哈,高兴
694,哈哈哈哈哈哈哈哈哈,高兴
695,你好爱他,高兴
696,你好爱他,高兴
697,你好爱他,高兴
698,周深你反思一下怎么又有你,愤怒
699,你好爱他,高兴
700,用深深的歌，你币有了！,高兴
701,你好爱他,高兴
702,你好爱他,高兴
703,hhhhhh深深,高兴
704,你好爱他,高兴
705,你好爱他,高兴
706,你一直爱他,高兴
707, 深深！？,高兴
708,你好爱他,高兴
709,啊！你好爱他,高兴
710,你好爱他！我们都好爱他！！！,高兴
711,你好爱他,高兴
712,你真的好爱他,高兴
713,感谢大家！得到这个奖是我应得的,高兴
714,你好爱他,高兴
715,深深！！！,高兴
716,啊啊啊！深深！,高兴
717,你真的好爱他啊,高兴
718,你好爱他,高兴
719,你好爱他,高兴
720,你好爱他,高兴
721,你好爱他,高兴
722,你好爱他,高兴
723,你好爱他,高兴
724,叠词词，恶心心,难过
725,周深梅开二度哈哈哈哈哈哈哈哈哈哈,高兴
726,这么半天了说啥呢？？？,愤怒
727,你好爱他,高兴
728,天下风云出我辈，一入江湖岁月催是岭ost歌词,高兴
729,洛基：？,惊讶
730,你好爱他,高兴
731,你好爱他,高兴
732,哈哈哈哈哈哈笑死我了,高兴
733,你好爱他,高兴
734,你好爱他,高兴
735,你好爱他,高兴
736,就你和他双向奔赴是不？,愤怒
737,你好爱他,高兴
738,你好爱他,高兴
739,你好爱他,高兴
740,你好爱他,高兴
741,叠词词，恶熏熏,愤怒
742,你好爱他,高兴
743,你好爱他,高兴
744,你好爱他,高兴
745,哈哈哈哈哈哈哈哈哈哈哈哈,高兴
746,你好爱他,高兴
747,谢谢大家！,高兴
748,你好爱他,高兴
749,哈哈哈哈哈哈哈,高兴
750,你好爱他,高兴
751,深深！,高兴
752,你好爱他,高兴
753,你好爱他,高兴
754,你好爱她,高兴
755,你好爱他,高兴
756,我儿子!,高兴
757,啊！他好爱他,高兴
758,你好爱他,高兴
759,你好爱他,高兴
760,你好爱他,高兴
761,叠词词，恶心心,难过
762,家人们快跑！,高兴
763,你好爱他,高兴
764,请收下我的膝盖,高兴
765,家人们快跑,惊讶
766,进度条不对劲,难过
767,进度条不对劲,难过
768,你好爱他,高兴
769,谢谢谢谢，继续加油,高兴
770,你好爱他,高兴
771,寺笋呐,高兴
772,你真的好爱他,高兴
773,你好爱他,高兴
774,你好爱他,高兴
775,擦,惊讶
776,广告乱入了,愤怒
777,你好爱他,高兴
778,你好爱他,高兴
779,哈哈哈哈哈哈哈哈哈哈哈,高兴
780,哈哈哈哈哈哈,高兴
781,二号机！！！,高兴
782,你好爱他,高兴
783,叠词词 恶熏熏,愤怒
784,姜云升狂喜,高兴
785,恶心心,难过
786,深深离这些人远点！,惊讶
787,你好爱他,高兴
788,你好爱他,高兴
789,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,高兴
790,囍囍囍囍囍囍囍囍,高兴
791,你好爱他,高兴
792,你好爱他,高兴
793,你好爱他,高兴
794,你好爱他,高兴
795,崽崽你怎么来了,惊讶
796,你好爱他,高兴
797,你好爱他,高兴
798,哈哈哈哈哈,高兴
799,哈哈哈哈哈,高兴
800,你好爱他,高兴
801,两个tag之间请空格或emoji,愤怒
802,你好爱他,高兴
803,你好爱他,高兴
804,你好爱他,高兴
805,你好爱他！,高兴
806,你好爱他,高兴
807,你好爱他,高兴
808,DNA,高兴
809,你好爱他,高兴
810,哈哈哈哈哈哈哈哈,高兴
811,我好爱他,高兴
812,你好爱他,高兴
813,就这么爱吗,愤怒
814,DNA动了,高兴
815,你好爱他,高兴
816,你好爱他,高兴
817,你好爱他,高兴
818,恶心心,难过
819,big胆,愤怒
820,你好爱他,高兴
821,你好爱他,高兴
822,你好爱他,高兴
823,恶心心,难过
824,好可爱啊,高兴
825,负负得正hhhhh,高兴
826,谢谢谢谢谢谢谢谢,高兴
827,缺德我懂了,愤怒
828,这个读秒我猜到了,高兴
829,缺德，hhhh,高兴
830,你好爱他,高兴
831,恶心心,难过
832,深深,难过
833,深深！,高兴
834,你好爱他,高兴
835,你好爱他,高兴
836,就是它了,高兴
837,你太爱了真爱了,高兴
838,恶心,难过
839,你好爱他,高兴
840,你好爱他,高兴
841,自带弹幕哈哈,高兴
842,你好爱他,高兴
843,哈哈哈,高兴
844,哈哈哈哈哈哈,高兴
845,你好爱他,高兴
846,你好爱他,高兴
847,你好爱他,高兴
848,你好爱她,高兴
849,耶耶！又是深深,高兴
850,恶心心,难过
851,你好爱他,高兴
852,深深！！！！！,高兴
853,你好爱他,高兴
854,你好爱他,高兴
855,你好爱他！！！！,高兴
856,你好爱他,高兴
857,你好爱他,高兴
858,你好爱他,高兴
859,救命吃瓜吃到自家蒸煮了哈哈哈哈哈深深这猴子哈哈哈哈哈,高兴
860,笑死我了特么的,高兴
861,你好爱他,高兴
862,你好爱他,高兴
863,你好爱他,高兴
864,哈哈哈哈哈哈哈哈哈哈哈哈,高兴
865,只要我楼高，你们就翻不到,难过
866,你好爱他,高兴
867,想到了菜狗西蒙半夜气得睡不着,愤怒
868,你好爱他,高兴
869,你好爱他,高兴
870,我终于得奖了哈哈哈哈哈哈,高兴
871,哈哈哈哈哈哈哈哈哈哈,高兴
872,你好爱他,高兴
873,你好爱他,高兴
874,啊DNA动了,高兴
875,你好爱他,高兴
876,DNA动了,高兴
877,DNA,高兴
878,笋丝绝不会花钱的，放心吧,高兴
879,你好爱他,高兴
880,你好爱他,高兴
881,哈哈哈好可爱,高兴
882,你好爱他,高兴
883,你好爱他,高兴
884,你好爱她,高兴
885,你骂到自己了,愤怒
886,忘不了啊～忘不了～,难过
887,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,高兴
888,你好爱他,高兴
889,你好爱他,高兴
890,你好爱他,高兴
891,你好爱他,高兴
892,哟~深深又来客串了,高兴
893,hhhhhhh,高兴
894,哈哈哈哈哈哈哈哈哈,高兴
895,恶心心哦,难过
896,你好爱他,高兴
897,二号机！！！！！,高兴
898,你好爱他,高兴
899,你好爱他,高兴
900,你好爱他,高兴
901,你好爱他,高兴
902,说实话，这样的追星真的非常好啊,高兴
903,哈哈哈哈哈哈,高兴
904,你好爱他,高兴
905,老公好,高兴
906,你好爱他,高兴
907,你好爱他,高兴
908,周深,高兴
909,好家伙是谷主唱过的rap,高兴
910,麻麻我出息了！！！鹿人给我颁奖了！,难过
911,深深！！！,高兴
912,爱他她爱她,高兴
913,你好爱他,高兴
914,毕竟是大师哥嘛,高兴
915,周深诶,难过
916,你好爱他,高兴
917,你好爱他,高兴
918,你好爱他,高兴
919,喻言喻言！！！！！！,高兴
